English,Meaning
statement,утверждение
suck,сосать
younger,моложе
china,Китай
humans,люди
delicious,очень вкусно
particular,конкретный
proper,правильный
rome,Рим
belongs,принадлежит
attacked,атакован
bath,ванна
hired,наемный
site,сайт
knowledge,знание
b,б
led,вел
guests,гости
celebrate,праздновать
map,карта
horn,Рог
eventually,в конце концов
pity,жалость
powers,полномочия
ashamed,стыдящийся
assume,предполагать
glasses,очки
rise,подниматься
fixed,исправлено
request,запрос
officers,офицеры
pounds,фунты
data,данные
carefully,осторожно
per,в
depends,зависит от
jury,жюри
waited,подождал
positive,положительный
attorney,адвокат
direction,направление
families,семьи
clock,Часы
doin,делаешь
forces,сил
location,расположение
walls,стены
useless,бесполезный
grant,грант
saving,экономия
speaks,говорит
fought,дрался
meal,еда
deliver,доставлять
answers,ответы
changing,изменения
temple,храм
scary,страшный
millions,миллионы
offered,предложенный
regular,обычный
carrying,балансовая стоимость
official,официальный
jacket,куртка
switch,выключатель
grave,могила
chase,гнаться
role,роль
odd,странный
sexy,сексуальный
faces,лица
becomes,становится
closes,закрывается
badly,плохо
tall,высокий
confused,смущенный
affair,Роман
television,телевидение
shock,шок
raised,поднятый
panting,задыхающийся
pizza,пицца
image,изображение
clears,рассеется
golden,золотой
patients,пациентов
watched,смотрели
committed,преданный идее
sexual,половой
suffer,страдать
arthur,Артур
wherever,где бы
plate,тарелка
appear,появляться
chocolate,шоколад
clever,умный
hm,гм
mercy,милосердие
shots,выстрелы
lucy,Люси
dealing,дилинг
trap,ловушка
charges,расходы
phil,Фил
bang,хлопнуть
poison,яд
butt,приклад
drove,поехали
yourselves,себя
headed,двуглавый
babies,дети
yellow,желтый
soup,суп
mystery,тайна
picking,Сбор
sat,Суббота
wound,ранить
traffic,движение
courage,храбрость
hunt,охота
indian,индийский
rat,крыса
terms,условия
italian,итальянский
emma,Эмма
checking,проверка
disease,болезнь
managed,удалось
winner,победитель
council,совет
appointment,"деловое свидание, встреча"
monday,понедельник
crack,трескаться
threat,угроза
jenny,Дженни
physical,физическое
nation,нация
source,источник
chose,выбрал
healthy,здоровый
carl,деревенщина
victory,победа
rick,стог
stood,стоял
kicked,ногами
annie,Энни
disgusting,отвратительный
